,date,target,x1,x2,x3,x4,x5,x6,x7,v,bitcoin,crypto
52,2021-09-20,42843.8,47260.22,48278.36,47267.52,47783.36,48176.35,47092.49,44963.07,26967722648,37,57
53,2021-09-21,40693.68,42843.8,47260.22,48278.36,47267.52,47783.36,48176.35,47092.49,43909845642,59,67
54,2021-09-22,43574.51,40693.68,42843.8,47260.22,48278.36,47267.52,47783.36,48176.35,48701090088,59,62
55,2021-09-23,44895.1,43574.51,40693.68,42843.8,47260.22,48278.36,47267.52,47783.36,38139709246,52,56
56,2021-09-24,42839.75,44895.1,43574.51,40693.68,42843.8,47260.22,48278.36,47267.52,34244064430,48,53
57,2021-09-25,42716.59,42839.75,44895.1,43574.51,40693.68,42843.8,47260.22,48278.36,42839345714,67,65
58,2021-09-26,43208.54,42716.59,42839.75,44895.1,43574.51,40693.68,42843.8,47260.22,31604717236,53,51
59,2021-09-27,42235.73,43208.54,42716.59,42839.75,44895.1,43574.51,40693.68,42843.8,30661222077,44,50
60,2021-09-28,41034.54,42235.73,43208.54,42716.59,42839.75,44895.1,43574.51,40693.68,30980029059,45,55
61,2021-09-29,41564.36,41034.54,42235.73,43208.54,42716.59,42839.75,44895.1,43574.51,30214940550,43,49
62,2021-09-30,43790.9,41564.36,41034.54,42235.73,43208.54,42716.59,42839.75,44895.1,30602359905,44,48
63,2021-10-01,48116.94,43790.9,41564.36,41034.54,42235.73,43208.54,42716.59,42839.75,31141681925,42,49
64,2021-10-02,47711.49,48116.94,43790.9,41564.36,41034.54,42235.73,43208.54,42716.59,42850641582,50,52
65,2021-10-03,48199.95,47711.49,48116.94,43790.9,41564.36,41034.54,42235.73,43208.54,30614346492,43,50
66,2021-10-04,49112.9,48199.95,47711.49,48116.94,43790.9,41564.36,41034.54,42235.73,26638115879,41,49
67,2021-10-05,51514.81,49112.9,48199.95,47711.49,48116.94,43790.9,41564.36,41034.54,33383173002,47,56
68,2021-10-06,55361.45,51514.81,49112.9,48199.95,47711.49,48116.94,43790.9,41564.36,35873904236,54,65
69,2021-10-07,53805.99,55361.45,51514.81,49112.9,48199.95,47711.49,48116.94,43790.9,49034730168,68,76
70,2021-10-08,53967.85,53805.99,55361.45,51514.81,49112.9,48199.95,47711.49,48116.94,36807860413,60,84
71,2021-10-09,54968.22,53967.85,53805.99,55361.45,51514.81,49112.9,48199.95,47711.49,34800873924,54,68
72,2021-10-10,54771.58,54968.22,53967.85,53805.99,55361.45,51514.81,49112.9,48199.95,32491211414,48,65
73,2021-10-11,57484.79,54771.58,54968.22,53967.85,53805.99,55361.45,51514.81,49112.9,39527792364,45,64
74,2021-10-12,56041.06,57484.79,54771.58,54968.22,53967.85,53805.99,55361.45,51514.81,42637331698,59,66
75,2021-10-13,57401.1,56041.06,57484.79,54771.58,54968.22,53967.85,53805.99,55361.45,41083758949,55,67
76,2021-10-14,57321.53,57401.1,56041.06,57484.79,54771.58,54968.22,53967.85,53805.99,41684252783,50,65
77,2021-10-15,61593.95,57321.53,57401.1,56041.06,57484.79,54771.58,54968.22,53967.85,36615791366,54,67
78,2021-10-16,60892.18,61593.95,57321.53,57401.1,56041.06,57484.79,54771.58,54968.22,51780081801,77,71
79,2021-10-17,61553.62,60892.18,61593.95,57321.53,57401.1,56041.06,57484.79,54771.58,34250964237,68,68
80,2021-10-18,62026.08,61553.62,60892.18,61593.95,57321.53,57401.1,56041.06,57484.79,29032367511,56,65
81,2021-10-19,64261.99,62026.08,61553.62,60892.18,61593.95,57321.53,57401.1,56041.06,38055562075,67,70
82,2021-10-20,65992.84,64261.99,62026.08,61553.62,60892.18,61593.95,57321.53,57401.1,40471196346,75,66
83,2021-10-21,62210.17,65992.84,64261.99,62026.08,61553.62,60892.18,61593.95,57321.53,40788955582,100,75
84,2021-10-22,60692.26,62210.17,65992.84,64261.99,62026.08,61553.62,60892.18,61593.95,45908121370,74,37
85,2021-10-23,61393.62,60692.26,62210.17,65992.84,64261.99,62026.08,61553.62,60892.18,38434082775,71,30
86,2021-10-24,60930.84,61393.62,60692.26,62210.17,65992.84,64261.99,62026.08,61553.62,26882546034,61,33
87,2021-10-25,63039.83,60930.84,61393.62,60692.26,62210.17,65992.84,64261.99,62026.08,27316183882,66,28
88,2021-10-26,60363.79,63039.83,60930.84,61393.62,60692.26,62210.17,65992.84,64261.99,31064911614,46,35
89,2021-10-27,58482.39,60363.79,63039.83,60930.84,61393.62,60692.26,62210.17,65992.84,34878965587,53,35
90,2021-10-28,60622.14,58482.39,60363.79,63039.83,60930.84,61393.62,60692.26,62210.17,43657076893,62,47
91,2021-10-29,62227.96,60622.14,58482.39,60363.79,63039.83,60930.84,61393.62,60692.26,45257083247,64,65
92,2021-10-30,61888.83,62227.96,60622.14,58482.39,60363.79,63039.83,60930.84,61393.62,36856881767,53,45
93,2021-10-31,61318.96,61888.83,62227.96,60622.14,58482.39,60363.79,63039.83,60930.84,32157938616,51,58
94,2021-11-01,61004.41,61318.96,61888.83,62227.96,60622.14,58482.39,60363.79,63039.83,32241199927,54,51
